gold_label,Premise,Hypothesis,pred_label,pred_expl,heuristic
neutral,The president advised the doctor .,The doctor advised the president .,entailment, the doctor is the president which means that the doctor is the doctor .,lexical_overlap
neutral,The student saw the managers .,The managers saw the student .,entailment, the pilot saw the student because the student saw the .,lexical_overlap
neutral,The presidents encouraged the banker .,The banker encouraged the presidents .,contradiction, the person can not both and be at the same time .,lexical_overlap
neutral,The senators supported the actor .,The actor supported the senators .,entailment, the actor is the leader .,lexical_overlap
neutral,The actors avoided the bankers .,The bankers avoided the actors .,entailment, actors are the actors .,lexical_overlap
neutral,The senators mentioned the artist .,The artist mentioned the senators .,entailment, the artist is the artist .,lexical_overlap
neutral,The managers saw the secretaries .,The secretaries saw the managers .,entailment, the postal saw is the name of the .,lexical_overlap
neutral,The professor recognized the secretaries .,The secretaries recognized the professor .,entailment, the professor is the professor .,lexical_overlap
neutral,The author contacted the scientist .,The scientist contacted the author .,contradiction, the scientist can not be both a patient and a scientist .,lexical_overlap
neutral,The athletes recommended the senator .,The senator recommended the athletes .,entailment, athletes are the same as the .,lexical_overlap
neutral,The president avoided the athlete .,The athlete avoided the president .,entailment, the president that the president was the same thing .,lexical_overlap
neutral,The judges supported the banker .,The banker supported the judges .,entailment, the judges are the judges .,lexical_overlap
neutral,The senators contacted the scientists .,The scientists contacted the senators .,neutral, the fact that the officials are being interviewed does not imply they are the .,lexical_overlap
neutral,The banker thanked the tourist .,The tourist thanked the banker .,neutral, the tourist is not necessarily the .,lexical_overlap
neutral,The tourists admired the secretary .,The secretary admired the tourists .,entailment, tourists are the same as the tourists .,lexical_overlap
neutral,The lawyers helped the judge .,The judge helped the lawyers .,entailment, the judge and the judge are the same .,lexical_overlap
neutral,The actors introduced the lawyer .,The lawyer introduced the actors .,entailment, the actor is the actor .,lexical_overlap
neutral,The professors advised the judge .,The judge advised the professors .,entailment, the judge is the same as the judges .,lexical_overlap
neutral,The artists contacted the professor .,The professor contacted the artists .,entailment, the artist is the artist .,lexical_overlap
neutral,The student recognized the senator .,The senator recognized the student .,entailment, the student is the student .,lexical_overlap
neutral,The secretary introduced the judge .,The judge introduced the secretary .,neutral, the judge is not necessarily the president .,lexical_overlap
neutral,The senators introduced the president .,The president introduced the senators .,entailment, the president is the name of the .,lexical_overlap
neutral,The lawyer introduced the professors .,The professors introduced the lawyer .,entailment, the jockey is the lawyer .,lexical_overlap
neutral,The tourist believed the students .,The students believed the tourist .,contradiction, the tourists can not be both tourists and students .,lexical_overlap
neutral,The athlete recommended the judge .,The judge recommended the athlete .,entailment, the athlete is the same as the judge .,lexical_overlap
neutral,The secretary recommended the lawyer .,The lawyer recommended the secretary .,entailment, the doctor is the nun .,lexical_overlap
neutral,The authors recommended the professors .,The professors recommended the authors .,entailment, the librarian is the same as the .,lexical_overlap
neutral,The students thanked the authors .,The authors thanked the students .,neutral, the students are not necessarily .,lexical_overlap
neutral,The tourist contacted the judges .,The judges contacted the tourist .,entailment, the judges are the tourist because they are judges .,lexical_overlap
neutral,The authors introduced the students .,The students introduced the authors .,entailment, students are the same as the students .,lexical_overlap
neutral,The author contacted the professors .,The professors contacted the author .,entailment, the author is the author .,lexical_overlap
neutral,The judges recommended the president .,The president recommended the judges .,entailment, the president the the president is the same as the judges are the .,lexical_overlap
neutral,The students believed the judges .,The judges believed the students .,contradiction, the judges can not be both the judges and the students .,lexical_overlap
neutral,The athletes supported the president .,The president supported the athletes .,entailment, the leader is the same as the opposing .,lexical_overlap
neutral,The managers introduced the bankers .,The bankers introduced the managers .,neutral," the postal team could be any type of service , not necessarily .",lexical_overlap
neutral,The authors encouraged the judges .,The judges encouraged the authors .,contradiction, the judges can not be both at the same time .,lexical_overlap
neutral,The actor stopped the senators .,The senators stopped the actor .,contradiction, the actor is either a member of the actor or the actor is the actor .,lexical_overlap
neutral,The artist avoided the senators .,The senators avoided the artist .,entailment, the artist is the artist,lexical_overlap
neutral,The actors recognized the student .,The student recognized the actors .,entailment, the actors are the student .,lexical_overlap
neutral,The senators stopped the presidents .,The presidents stopped the senators .,contradiction, the first sentence is the first sentence ; the second is talking .,lexical_overlap
neutral,The scientists encouraged the lawyers .,The lawyers encouraged the scientists .,contradiction, the doctors can not be both and and they are not the same .,lexical_overlap
neutral,The professors helped the presidents .,The presidents helped the professors .,entailment, the newly helped are .,lexical_overlap
neutral,The authors stopped the senator .,The senator stopped the authors .,neutral, the first sentence is talking about the pope .,lexical_overlap
neutral,The professor advised the manager .,The manager advised the professor .,entailment, the manager is the professor .,lexical_overlap
neutral,The manager introduced the judge .,The judge introduced the manager .,entailment, the judge is the manager .,lexical_overlap
neutral,The presidents contacted the scientist .,The scientist contacted the presidents .,entailment, the scientist is the professor .,lexical_overlap
neutral,The artists encouraged the scientists .,The scientists encouraged the artists .,entailment, the artists are the same as the artists .,lexical_overlap
neutral,The lawyer advised the author .,The author advised the lawyer .,entailment, the doctor is the doctor .,lexical_overlap
neutral,The student contacted the senator .,The senator contacted the student .,entailment, the student is the student .,lexical_overlap
neutral,The students recognized the professor .,The professor recognized the students .,entailment, the professor is the same as the professor .,lexical_overlap
neutral,The actor believed the scientist .,The scientist believed the actor .,contradiction, the actor can not be a cameraman and a cameraman at the same time .,lexical_overlap
neutral,The artist contacted the tourist .,The tourist contacted the artist .,entailment, the artist is the artist .,lexical_overlap
neutral,The president helped the actors .,The actors helped the president .,entailment, the actors are giving the picture of the actors .,lexical_overlap
neutral,The professors introduced the secretary .,The secretary introduced the professors .,entailment, the nun is the .,lexical_overlap
neutral,The doctors advised the senator .,The senator advised the doctors .,entailment, doctors are the doctors .,lexical_overlap
neutral,The doctors believed the student .,The student believed the doctors .,neutral, the doctors being the student does not imply that they are the doctors .,lexical_overlap
neutral,The judges mentioned the student .,The student mentioned the judges .,entailment, the judges are the judges .,lexical_overlap
neutral,The judge called the doctors .,The doctors called the judge .,entailment, the doctors ' is a rephrasing of ' the doctors ' .,lexical_overlap
neutral,The managers stopped the president .,The president stopped the managers .,entailment, the president stopped the president is the same as the president stopped the .,lexical_overlap
neutral,The artist introduced the tourists .,The tourists introduced the artist .,entailment, the artist is the artist .,lexical_overlap
neutral,The manager contacted the secretaries .,The secretaries contacted the manager .,entailment, the manager is the manager .,lexical_overlap
neutral,The judges recommended the secretary .,The secretary recommended the judges .,entailment, the judges could be the nun .,lexical_overlap
